3_min_period,centroids,count,distances_below_threshold
1735551000,"[(262.5, 218.5), (181.0, 166.5), (63.0, 165.0), (24.5, 229.0), (152.0, 146.5), (121.0, 126.5), (49.0, 193.0), (73.0, 142.0), (135.5, 132.5), (263.5, 219.0), (181.0, 166.5), (63.0, 165.0), (151.5, 145.0), (38.5, 213.5), (134.0, 134.5), (67.0, 148.0), (77.0, 133.5)]",17,"[((262.5, 218.5), (263.5, 219.0), 1.118033988749895), ((181.0, 166.5), (181.0, 166.5), 0.0), ((63.0, 165.0), (63.0, 165.0), 0.0), ((152.0, 146.5), (151.5, 145.0), 1.5811388300841898), ((135.5, 132.5), (134.0, 134.5), 2.5)]"
1735543260,"[(263.0, 219.0), (182.0, 166.5), (53.0, 184.0), (40.0, 211.5), (151.5, 145.0), (141.5, 136.0), (69.0, 155.5), (122.0, 126.0), (263.0, 219.0), (181.5, 166.5), (53.5, 182.5), (25.0, 229.0), (151.0, 146.5), (67.5, 157.0), (134.5, 134.0), (122.5, 125.5), (77.5, 136.5)]",17,"[((263.0, 219.0), (263.0, 219.0), 0.0), ((182.0, 166.5), (181.5, 166.5), 0.5), ((53.0, 184.0), (53.5, 182.5), 1.5811388300841898), ((151.5, 145.0), (151.0, 146.5), 1.5811388300841898), ((69.0, 155.5), (67.5, 157.0), 2.1213203435596424), ((122.0, 126.0), (122.5, 125.5), 0.7071067811865476)]"
1735768260,"[(231.5, 202.5), (45.0, 209.0), (152.5, 147.5), (60.5, 169.0), (183.5, 167.5), (95.5, 121.5), (120.0, 130.0), (138.5, 138.0), (45.0, 209.5), (231.5, 201.5), (60.0, 170.0), (166.5, 153.5), (145.5, 143.0), (208.5, 230.5), (75.0, 142.0), (132.5, 133.5), (119.5, 124.5)]",17,"[((231.5, 202.5), (231.5, 201.5), 1.0), ((45.0, 209.0), (45.0, 209.5), 0.5), ((60.5, 169.0), (60.0, 170.0), 1.118033988749895)]"
1735543620,"[(263.0, 219.0), (181.5, 166.5), (63.5, 165.5), (150.5, 145.5), (27.0, 229.0), (134.0, 135.0), (83.5, 119.5), (119.5, 125.5), (73.5, 142.0), (263.0, 219.5), (181.5, 166.5), (151.0, 145.0), (64.0, 166.5), (37.0, 211.5), (74.0, 144.0), (134.5, 134.5), (83.0, 120.0)]",17,"[((263.0, 219.0), (263.0, 219.5), 0.5), ((181.5, 166.5), (181.5, 166.5), 0.0), ((63.5, 165.5), (64.0, 166.5), 1.118033988749895), ((150.5, 145.5), (151.0, 145.0), 0.7071067811865476), ((134.0, 135.0), (134.5, 134.5), 0.7071067811865476), ((83.5, 119.5), (83.0, 120.0), 0.7071067811865476), ((73.5, 142.0), (74.0, 144.0), 2.0615528128088303)]"
1735544520,"[(262.0, 219.0), (181.0, 166.0), (64.0, 166.5), (37.5, 210.5), (151.0, 145.5), (133.5, 134.5), (72.0, 143.0), (123.5, 125.5), (80.0, 128.0), (262.0, 219.0), (181.5, 166.5), (63.5, 166.0), (151.0, 145.0), (37.0, 210.5), (74.0, 140.0), (135.0, 133.5), (12.0, 125.0)]",17,"[((262.0, 219.0), (262.0, 219.0), 0.0), ((181.0, 166.0), (181.5, 166.5), 0.7071067811865476), ((64.0, 166.5), (63.5, 166.0), 0.7071067811865476), ((37.5, 210.5), (37.0, 210.5), 0.5), ((151.0, 145.5), (151.0, 145.0), 0.5), ((133.5, 134.5), (135.0, 133.5), 1.8027756377319946)]"
1735546140,"[(262.5, 219.0), (181.5, 166.5), (63.0, 166.5), (151.5, 145.5), (26.0, 229.0), (82.5, 120.5), (81.0, 127.5), (134.0, 134.5), (117.5, 126.0), (263.0, 219.0), (181.5, 166.5), (150.5, 145.0), (64.0, 165.5), (134.0, 135.0), (40.0, 215.5), (78.0, 134.5), (109.0, 156.5)]",17,"[((262.5, 219.0), (263.0, 219.0), 0.5), ((181.5, 166.5), (181.5, 166.5), 0.0), ((63.0, 166.5), (64.0, 165.5), 1.4142135623730951), ((151.5, 145.5), (150.5, 145.0), 1.118033988749895), ((134.0, 134.5), (134.0, 135.0), 0.5)]"
1735587360,"[(262.0, 218.5), (210.0, 184.0), (67.0, 156.5), (94.5, 121.0), (152.5, 146.0), (78.0, 137.5), (139.0, 137.5), (82.0, 123.5), (172.5, 160.0), (101.5, 182.5), (208.0, 183.0), (262.5, 218.5), (104.0, 225.0), (66.0, 156.5), (112.5, 132.5), (78.5, 138.5), (164.5, 154.0)]",17,"[((262.0, 218.5), (262.5, 218.5), 0.5), ((210.0, 184.0), (208.0, 183.0), 2.23606797749979), ((67.0, 156.5), (66.0, 156.5), 1.0), ((78.0, 137.5), (78.5, 138.5), 1.118033988749895)]"
1735419960,"[(263.0, 219.0), (62.5, 171.0), (183.5, 167.0), (31.0, 232.5), (117.0, 137.5), (153.0, 147.0), (130.0, 132.5), (74.0, 142.5), (263.0, 219.0), (62.5, 171.5), (183.0, 166.5), (31.5, 233.0), (73.5, 143.5), (147.0, 142.5), (130.0, 132.5), (81.0, 122.0), (82.0, 132.5)]",17,"[((263.0, 219.0), (263.0, 219.0), 0.0), ((62.5, 171.0), (62.5, 171.5), 0.5), ((183.5, 167.0), (183.0, 166.5), 0.7071067811865476), ((31.0, 232.5), (31.5, 233.0), 0.7071067811865476), ((130.0, 132.5), (130.0, 132.5), 0.0), ((74.0, 142.5), (73.5, 143.5), 1.118033988749895)]"
1735587000,"[(262.0, 218.5), (208.0, 183.5), (114.5, 131.5), (166.5, 154.5), (25.0, 235.0), (77.0, 141.0), (145.5, 142.5), (175.0, 219.0), (134.0, 162.0), (263.0, 218.5), (209.0, 183.5), (117.5, 139.0), (167.0, 155.0), (76.5, 142.0), (95.0, 121.5), (94.0, 115.0), (86.0, 116.0)]",17,"[((262.0, 218.5), (263.0, 218.5), 1.0), ((208.0, 183.5), (209.0, 183.5), 1.0), ((166.5, 154.5), (167.0, 155.0), 0.7071067811865476), ((77.0, 141.0), (76.5, 142.0), 1.118033988749895)]"
1735437780,"[(265.0, 218.5), (121.0, 212.0), (46.0, 195.0), (62.5, 167.5), (180.5, 166.0), (34.5, 233.5), (94.0, 161.0), (205.5, 187.0), (79.5, 125.5), (265.0, 219.5), (176.5, 205.5), (62.5, 167.0), (91.0, 161.5), (45.5, 198.5), (181.5, 163.5), (35.0, 233.5), (80.0, 125.0)]",17,"[((265.0, 218.5), (265.0, 219.5), 1.0), ((62.5, 167.5), (62.5, 167.0), 0.5), ((180.5, 166.0), (181.5, 163.5), 2.692582403567252), ((34.5, 233.5), (35.0, 233.5), 0.5), ((79.5, 125.5), (80.0, 125.0), 0.7071067811865476)]"
